    xi       psi(num)    psi'(num)   rho(num)     m(num)  
5.10000000  2.06641037  0.44533802  0.12949910  0.18994603 
5.15000000  2.08861508  0.44284959  0.12663956  0.19089857 
5.20000000  2.11069528  0.44035798  0.12385855  0.19179228 
5.25000000  2.13265084  0.43786440  0.12115370  0.19262842 
5.30000000  2.15448171  0.43537000  0.11852269  0.19340824 
5.35000000  2.17618785  0.43287587  0.11596328  0.19413303 
5.40000000  2.19776931  0.43038303  0.11347328  0.19480407 
5.45000000  2.21922619  0.42789246  0.11105060  0.19542264 
5.50000000  2.24055861  0.42540507  0.10869318  0.19599004 
5.55000000  2.26176677  0.42292174  0.10639905  0.19650755 
5.60000000  2.28285087  0.42044328  0.10416628  0.19697645 
5.65000000  2.30381119  0.41797046  0.10199302  0.19739802 
5.70000000  2.32464802  0.41550401  0.09987747  0.19777353 
5.75000000  2.34536171  0.41304462  0.09781787  0.19810425 
5.80000000  2.36595261  0.41059293  0.09581254  0.19839141 
5.85000000  2.38642114  0.40814955  0.09385985  0.19863626 
5.90000000  2.40676771  0.40571506  0.09195820  0.19884002 
5.95000000  2.42699280  0.40328997  0.09010607  0.19900390 
6.00000000  2.44709688  0.40087480  0.08830198  0.19912907 
6.05000000  2.46708045  0.39847001  0.08654447  0.19921673 
6.10000000  2.48694406  0.39607605  0.08483217  0.19926803 
6.15000000  2.50668824  0.39369331  0.08316372  0.19928409 
6.20000000  2.52631358  0.39132218  0.08153783  0.19926605 
6.25000000  2.54582066  0.38896303  0.07995322  0.19921500 
6.30000000  2.56521009  0.38661617  0.07840868  0.19913201 
6.35000000  2.58448249  0.38428191  0.07690302  0.19901814 
6.40000000  2.60363850  0.38196054  0.07543511  0.19887443 
6.45000000  2.62267876  0.37965231  0.07400383  0.19870190 
6.50000000  2.64160395  0.37735747  0.07260810  0.19850153 
6.55000000  2.66041474  0.37507625  0.07124690  0.19827430 
6.60000000  2.67911180  0.37280883  0.06991922  0.19802116 
6.65000000  2.69769585  0.37055541  0.06862408  0.19774304 
6.70000000  2.71616758  0.36831616  0.06736054  0.19744084 
6.75000000  2.73452771  0.36609122  0.06612770  0.19711545 
6.80000000  2.75277694  0.36388073  0.06492466  0.19676774 
6.85000000  2.77091602  0.36168482  0.06375058  0.19639854 
6.90000000  2.78894567  0.35950360  0.06260463  0.19600868 
6.95000000  2.80686663  0.35733715  0.06148601  0.19559897 
7.00000000  2.82467963  0.35518557  0.06039393  0.19517017 
7.05000000  2.84238543  0.35304892  0.05932766  0.19472306 
7.10000000  2.85998478  0.35092726  0.05828646  0.19425837 
7.15000000  2.87747841  0.34882065  0.05726963  0.19377682 
7.20000000  2.89486709  0.34672913  0.05627649  0.19327911 
7.25000000  2.91215158  0.34465272  0.05530638  0.19276592 
7.30000000  2.92933262  0.34259145  0.05435865  0.19223792 
7.35000000  2.94641097  0.34054532  0.05343269  0.19169574 
7.40000000  2.96338740  0.33851435  0.05252789  0.19114002 
7.45000000  2.98026266  0.33649854  0.05164368  0.19057135 
7.50000000  2.99703751  0.33449787  0.05077949  0.18999034 
7.55000000  3.01371270  0.33251232  0.04993478  0.18939755 
7.60000000  3.03028899  0.33054188  0.04910901  0.18879353 
7.65000000  3.04676714  0.32858652  0.04830168  0.18817883 
7.70000000  3.06314790  0.32664620  0.04751228  0.18755397 
7.75000000  3.07943201  0.32472088  0.04674033  0.18691945 
7.80000000  3.09562023  0.32281052  0.04598537  0.18627577 
7.85000000  3.11171331  0.32091507  0.04524694  0.18562339 
7.90000000  3.12771199  0.31903448  0.04452461  0.18496279 
7.95000000  3.14361700  0.31716868  0.04381794  0.18429441 
8.00000000  3.15942910  0.31531762  0.04312653  0.18361868 
8.05000000  3.17514901  0.31348124  0.04244997  0.18293602 
8.10000000  3.19077747  0.31165945  0.04178788  0.18224684 
8.15000000  3.20631520  0.30985220  0.04113987  0.18155152 
8.20000000  3.22176293  0.30805941  0.04050559  0.18085045 
8.25000000  3.23712138  0.30628100  0.03988468  0.18014399 
8.30000000  3.25239127  0.30451689  0.03927680  0.17943250 
8.35000000  3.26757331  0.30276699  0.03868160  0.17871633 
8.40000000  3.28266820  0.30103123  0.03809877  0.17799580 
8.45000000  3.29767666  0.29930952  0.03752799  0.17727123 
8.50000000  3.31259939  0.29760177  0.03696896  0.17654294 
8.55000000  3.32743707  0.29590788  0.03642138  0.17581122 
8.60000000  3.34219041  0.29422778  0.03588496  0.17507637 
8.65000000  3.35686008  0.29256135  0.03535942  0.17433865 
8.70000000  3.37144677  0.29090852  0.03484450  0.17359835 
8.75000000  3.38595115  0.28926918  0.03433992  0.17285572 
8.80000000  3.40037391  0.28764324  0.03384543  0.17211101 
8.85000000  3.41471570  0.28603060  0.03336079  0.17136447 
8.90000000  3.42897719  0.28443116  0.03288575  0.17061632 
8.95000000  3.44315903  0.28284483  0.03242008  0.16986680 
9.00000000  3.45726189  0.28127149  0.03196355  0.16911611 
9.05000000  3.47128640  0.27971106  0.03151594  0.16836448 
9.10000000  3.48523321  0.27816343  0.03107703  0.16761209 
9.15000000  3.49910295  0.27662850  0.03064661  0.16685914 
9.20000000  3.51289627  0.27510616  0.03022448  0.16610583 
9.25000000  3.52661378  0.27359632  0.02981045  0.16535233 
9.30000000  3.54025611  0.27209888  0.02940432  0.16459880 
9.35000000  3.55382387  0.27061372  0.02900590  0.16384543 
9.40000000  3.56731768  0.26914076  0.02861501  0.16309237 
9.45000000  3.58073815  0.26767988  0.02823148  0.16233977 
9.50000000  3.59408587  0.26623098  0.02785513  0.16158778 
9.55000000  3.60736144  0.26479397  0.02748580  0.16083654 
9.60000000  3.62056546  0.26336873  0.02712332  0.16008620 
9.65000000  3.63369851  0.26195517  0.02676754  0.15933687 
9.70000000  3.64676117  0.26055318  0.02641830  0.15858869 
9.75000000  3.65975402  0.25916267  0.02607545  0.15784178 
9.80000000  3.67267763  0.25778353  0.02573884  0.15709625 
9.85000000  3.68553256  0.25641566  0.02540834  0.15635221 
9.90000000  3.69831938  0.25505896  0.02508381  0.15560978 
9.95000000  3.71103864  0.25371332  0.02476511  0.15486905 
10.00000000  3.72369089  0.25237866  0.02445211  0.15413011 
